avgAutoFuel,avgBreaksPerMatch,avgEstimatedPassBalls,avgEstimatedShotBalls,avgFoulsPerMatch,avgFuelPerMatch,avgPassHeldSec,avgShootHeldSec,avgTeleFuelPerMatch,breakRateAny,breakdownRate,consistencyIndex,defenseHeavyRate,defenseReceivedRate,defenseSomeRate,disciplineIndex,estimatedFuelPoints,expectedFuelTrendPerMatch,fuelMedian,fuelQ1,fuelQ3,fuelStdev,matchCount,pitBatteryCount,pitDrivebase,pitMaxFuelStorageEstimate,pitPreferredScoringSpot,pitScoringMethod,pitTowerCapabilityClaimed,reliabilityIndex,teamNumber,timelineCoverageRate
9.9417,0.3333,7.3083,87.3167,0.0,87.3167,1.4617,17.4633,77.375,0.3333,0.3333,0.5834,0.0,0.1667,0.0,1.0,87.3167,0.9712,87.45,40.15,126.0125,62.361,6,0,,0.0,,,,0.6667,2584,0.8333
0.47,0.6,9.14,49.98,0.0,49.98,1.828,9.996,49.51,0.4,0.4,0.6609,0.0,0.0,0.0,1.0,49.98,-0.0537,48.25,27.25,62.4,25.6446,5,0,,0.0,,,,0.6,2710,1.0
0.0,0.5,0.0,28.9375,0.0,28.9375,0.0,5.7875,28.9375,0.5,0.5,0.416,0.0,0.0,0.0,1.0,28.9375,2.7518,8.775,0.0,37.7125,40.6255,4,0,,0.0,,,,0.5,3408,0.5
5.97,0.2,56.03,137.31,0.0,137.31,11.206,27.462,131.34,0.2,0.0,0.7436,0.0,0.6,0.2,1.0,137.31,-4.0601,117.65,111.65,167.7,47.3555,5,0,,0.0,,,,0.92,3476,1.0
1.3333,0.0,0.0417,4.3417,0.0,4.3417,0.0083,0.8683,3.0083,0.0,0.0,0.3165,0.1667,0.0,0.1667,1.0,4.3417,0.4036,0.0,0.0,0.5625,9.3769,6,0,,0.0,,,,1.0,3759,0.5
1.2917,0.1667,33.0083,69.225,0.0,69.225,6.6017,13.845,67.9333,0.1667,0.1667,0.5312,0.0,0.0,0.0,1.0,69.225,-2.6892,69.925,14.275,94.525,61.0935,6,0,,0.0,,,,0.8333,4123,0.6667
2.55,0.1667,3.35,50.1667,0.0,50.1667,0.67,10.0333,47.6167,0.1667,0.1667,0.5835,0.1667,0.0,0.0,1.0,50.1667,2.1494,50.05,24.3875,69.075,35.8093,6,1,tank,1.0,nearHub,other,level3,0.8333,4201,0.8333
2.25,0.0,1.2833,137.8667,0.0,137.8667,0.2567,27.5733,135.6167,0.0,0.0,0.9148,0.0,0.0,0.0,1.0,137.8667,1.3286,139.85,130.55,146.175,12.8346,3,0,,0.0,,,,1.0,4322,1.0
1.4333,0.6667,8.3167,59.8583,0.0,59.8583,1.6633,11.9717,58.425,0.1667,0.1667,0.6764,0.0,0.1667,0.1667,1.0,59.8583,-1.114,72.125,50.9,82.2125,28.6333,6,0,,0.0,,,,0.8333,4415,1.0
8.64,0.6,61.66,35.79,0.0,35.79,12.332,7.158,27.15,0.4,0.4,0.3642,0.2,0.0,0.2,1.0,35.79,-4.0436,2.5,0.0,16.3,62.4745,5,0,,0.0,,,,0.6,4470,0.6
0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2857,0.25,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,,0.0,,,,0.75,4501,0.0
4.8583,0.0,6.75,23.875,0.0,23.875,1.35,4.775,19.0167,0.0,0.0,0.6068,0.0,0.0,0.0,1.0,23.875,0.656,18.975,14.9625,36.4125,15.4723,6,0,,0.0,,,,1.0,4964,1.0
0.0,0.0,5.4583,22.0,0.1667,22.0,1.0917,4.4,22.0,0.0,0.0,0.4891,0.5,0.0,0.0,0.9722,22.0,1.4272,12.8,2.775,38.8,22.983,6,0,,0.0,,,,1.0,4999,0.6667
3.2417,0.0,1.0833,29.825,0.0,29.825,0.2167,5.965,26.5833,0.0,0.1667,0.4603,0.0,0.0,0.1667,1.0,29.825,-2.0616,11.65,2.1,53.4125,34.9686,6,0,,0.0,,,,0.9,5089,0.6667
0.325,0.0,11.8083,28.1667,0.0,28.1667,2.3617,5.6333,27.8417,0.0,0.0,0.4457,0.0,0.3333,0.1667,1.0,28.1667,-0.0674,12.675,0.95,39.925,35.0358,6,0,,0.0,,,,1.0,5124,0.8333
1.575,0.0,0.0,65.975,0.0,65.975,0.0,13.195,64.4,0.0,0.25,0.6274,0.0,0.25,0.25,1.0,65.975,-2.3276,59.9,36.25,89.625,39.1776,4,0,,0.0,,,,0.85,5137,1.0
0.0,0.0,14.825,52.725,0.0,52.725,2.965,10.545,52.725,0.0,0.0,0.503,0.0,0.25,0.0,1.0,52.725,-1.3575,38.525,10.475,80.775,52.0907,4,0,,0.0,,,,1.0,5669,1.0
0.0,0.6,0.0,1.77,0.0,1.77,0.0,0.354,1.77,0.4,0.6,0.3333,0.2,0.0,0.4,1.0,1.77,0.1051,0.0,0.0,0.0,3.54,5,0,,0.0,,,,0.48,5835,0.2
0.0,0.0,0.5917,8.7583,0.0,8.7583,0.1183,1.7517,8.7583,0.0,0.5,0.4452,0.0,0.0,0.1667,1.0,8.7583,0.5104,2.875,0.0,15.35,10.9162,6,0,,0.0,,,,0.7,5857,0.5
0.0,0.25,40.4875,0.0,0.0,0.0,8.0975,0.0,0.0,0.25,0.5,0.2857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,,0.0,,,,0.6,6000,0.25
0.7917,0.1667,0.0,18.8833,0.0,18.8833,0.0,3.7767,18.0917,0.1667,0.1667,0.4626,0.0,0.0,0.0,1.0,18.8833,-1.7966,8.8,0.0,34.0625,21.9367,6,0,,0.0,,,,0.8333,6072,0.5
0.0,0.0,4.6,28.7,0.0,28.7,0.92,5.74,28.7,0.0,0.0,0.5513,0.0,0.0,0.4,1.0,28.7,1.8907,40.95,1.6,44.45,23.3626,5,0,,0.0,,,,1.0,6220,0.8
4.975,0.5,18.025,25.975,0.0,25.975,3.605,5.195,21.0,0.3333,0.5,0.5137,0.1667,0.1667,0.1667,1.0,25.975,-0.84,18.6,5.475,41.4375,24.5904,6,0,,0.0,,,,0.5667,6904,0.8333
3.51,0.0,65.29,35.24,0.2,35.24,13.058,7.048,31.73,0.0,0.0,0.4929,0.0,0.0,0.2,0.9667,35.24,-2.5513,13.85,13.45,48.75,36.2492,5,0,,0.0,,,,1.0,7042,0.8
0.0,1.2,0.0,10.41,9.8,10.41,0.0,2.082,10.41,0.4,0.4,0.3582,0.0,0.2,0.4,0.0,10.41,-1.2563,0.0,0.0,4.5,18.6516,5,0,,0.0,,,,0.6,7230,0.4
3.675,0.0,2.45,12.3917,0.0,12.3917,0.49,2.4783,8.7167,0.0,0.3333,0.5236,0.0,0.0,0.0,1.0,12.3917,0.4701,9.525,4.2,16.6125,11.2757,6,0,,0.0,,,,0.8,8898,0.8333
4.89,0.4,59.75,111.81,0.0,111.81,11.95,22.362,106.92,0.4,0.2,0.6087,0.0,0.4,0.0,1.0,111.81,3.8824,105.15,49.1,140.5,71.872,5,0,,0.0,,,,0.72,9408,1.0
0.0,0.2,14.37,0.0,0.0,0.0,2.874,0.0,0.0,0.2,0.4,0.2857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,,0.0,,,,0.68,9505,0.2
0.0,0.0,0.0,0.71,0.0,0.71,0.0,0.142,0.71,0.0,0.4,0.3333,0.0,0.0,0.0,1.0,0.71,0.0963,0.0,0.0,0.0,1.42,5,0,,0.0,,,,0.76,9696,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.6,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,,0.0,,,,1.0,11096,0.0
