avgAutoFuel_contribution,avgAutoFuel_normalized,avgAutoFuel_raw,avgFuelPerMatch_contribution,avgFuelPerMatch_normalized,avgFuelPerMatch_raw,avgPassHeldSec_contribution,avgPassHeldSec_normalized,avgPassHeldSec_raw,avgShootHeldSec_contribution,avgShootHeldSec_normalized,avgShootHeldSec_raw,consistencyIndex_contribution,consistencyIndex_normalized,consistencyIndex_raw,defenseHeavyRate_contribution,defenseHeavyRate_normalized,defenseHeavyRate_raw,disciplineIndex_contribution,disciplineIndex_normalized,disciplineIndex_raw,estimatedFuelPoints_contribution,estimatedFuelPoints_normalized,estimatedFuelPoints_raw,matchCount,rank,reliabilityIndex_contribution,reliabilityIndex_normalized,reliabilityIndex_raw,score,teamNumber,timelineCoverageRate_contribution,timelineCoverageRate_normalized,timelineCoverageRate_raw,weightedSum
1.435365,2.392274,10.02,0.318643,0.227602,50.2,0.988022,1.976044,14.67,0.182082,0.227603,10.04,-0.77782,-0.864244,0.378,-0.201583,-0.503957,0.0,-0.033285,-0.04755,0.9667,0.273123,0.227602,50.2,5,11,-0.159907,-0.159907,0.8,94.957722,1836,0.47301,0.946021,1.0,2.497651
-0.181177,-0.301962,1.2917,0.994824,0.710589,69.225,0.261502,0.523004,6.6017,0.568471,0.710589,13.845,0.064839,0.072043,0.5312,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,0.852706,0.710589,69.225,6,12,0.054457,0.054457,0.8333,94.326301,4123,-0.071215,-0.14243,0.6667,2.462572
-0.420409,-0.700681,0.0,0.408386,0.291704,52.725,-0.065969,-0.131938,2.965,0.233364,0.291705,10.545,-0.090272,-0.100302,0.503,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,0.350045,0.291704,52.725,4,13,1.127563,1.127563,1.0,84.809902,5669,0.47301,0.946021,1.0,1.933883
0.051869,0.086448,2.55,0.31746,0.226757,50.1667,-0.272625,-0.54525,0.67,0.181402,0.226752,10.0333,0.352509,0.391677,0.5835,0.29073,0.726824,0.1667,0.119747,0.171067,1.0,0.272108,0.226757,50.1667,6,14,0.054457,0.054457,0.8333,78.232502,4201,0.200816,0.401632,0.8333,1.568472
0.229668,0.382779,3.51,-0.213061,-0.152186,35.24,0.842868,1.685735,13.058,-0.121749,-0.152186,7.048,-0.145826,-0.162029,0.4929,-0.201583,-0.503957,0.0,-0.033285,-0.04755,0.9667,-0.182623,-0.152186,35.24,5,15,1.127563,1.127563,1.0,76.071471,7042,0.146442,0.292885,0.8,1.448415
0.479382,0.79897,4.8583,-0.616992,-0.440709,23.875,-0.211394,-0.422787,1.35,-0.352567,-0.440708,4.775,0.480668,0.534076,0.6068,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.52885,-0.440709,23.875,6,16,1.127563,1.127563,1.0,63.841736,4964,0.47301,0.946021,1.0,0.768985
-0.420409,-0.700681,0.0,-0.259798,-0.18557,33.925,1.033496,2.066991,15.175,-0.148456,-0.18557,6.785,0.442715,0.491906,0.5999,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.222684,-0.18557,33.925,4,17,-0.481774,-0.481774,0.75,56.016768,1515,0.47301,0.946021,1.0,0.334265
-0.333361,-0.555602,0.47,0.310824,0.222017,49.98,-0.168352,-0.336703,1.828,0.177614,0.222018,9.996,0.778239,0.86471,0.6609,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,0.266421,0.222017,49.98,5,18,-1.447377,-1.447377,0.6,49.553281,2710,0.47301,0.946021,1.0,-0.024818
-0.173472,-0.289121,1.3333,-0.186642,-0.133316,35.9833,-0.317801,-0.635602,0.1683,-0.106649,-0.133311,7.1967,-0.308087,-0.342319,0.4634,0.29073,0.726824,0.1667,0.119747,0.171067,1.0,-0.159979,-0.133316,35.9833,6,19,0.483828,0.483828,0.9,47.164819,1159,0.200816,0.401632,0.8333,-0.15751
-0.420409,-0.700681,0.0,-0.683633,-0.488309,22.0,-0.234653,-0.469305,1.0917,-0.390647,-0.488309,4.4,-0.166727,-0.185252,0.4891,1.275059,3.187647,0.5,-0.008009,-0.011442,0.9722,-0.585971,-0.488309,22.0,6,20,1.127563,1.127563,1.0,47.144454,4999,-0.071215,-0.14243,0.6667,-0.158641
-0.420409,-0.700681,0.0,-0.445503,-0.318217,28.7,-0.250113,-0.500227,0.92,-0.254573,-0.318216,5.74,0.175397,0.194885,0.5513,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.38186,-0.318217,28.7,5,21,1.127563,1.127563,1.0,43.071945,6220,0.146442,0.292885,0.8,-0.384892
1.179779,1.966299,8.64,-0.193513,-0.138223,35.79,0.777494,1.554988,12.332,-0.110578,-0.138223,7.158,-0.853725,-0.948583,0.3642,0.389074,0.972685,0.2,0.119747,0.171067,1.0,-0.165868,-0.138223,35.79,5,22,-1.447377,-1.447377,0.6,41.268335,4470,-0.180126,-0.360251,0.6,-0.485093
-0.360216,-0.600361,0.325,-0.464458,-0.331755,28.1667,-0.120294,-0.240588,2.3617,-0.265408,-0.33176,5.6333,-0.405444,-0.450493,0.4457,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.398107,-0.331755,28.1667,6,23,1.127563,1.127563,1.0,36.187103,5124,0.200816,0.401632,0.8333,-0.767383
-0.242147,-0.403578,0.9625,-0.766267,-0.547334,19.675,-0.332956,-0.665912,0.0,-0.437867,-0.547334,3.935,1.109912,1.233236,0.7212,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.6568,-0.547334,19.675,4,24,0.161961,0.161961,0.85,36.086175,597,0.47301,0.946021,1.0,-0.77299
0.179977,0.299961,3.2417,-0.405519,-0.289656,29.825,-0.313443,-0.626886,0.2167,-0.231725,-0.289656,5.965,-0.325138,-0.361265,0.4603,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.347588,-0.289656,29.825,6,25,0.483828,0.483828,0.9,29.972144,5089,-0.071215,-0.14243,0.6667,-1.112659
-0.098612,-0.164353,1.7375,-0.8258,-0.589857,18.0,-0.20464,-0.40928,1.425,-0.471885,-0.589857,3.6,0.894297,0.993663,0.682,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.707828,-0.589857,18.0,4,26,-0.159907,-0.159907,0.8,28.702397,1197,0.47301,0.946021,1.0,-1.1832
0.500996,0.834993,4.975,-0.542354,-0.387396,25.975,-0.008339,-0.016679,3.605,-0.309917,-0.387396,5.195,-0.031418,-0.034909,0.5137,0.29073,0.726824,0.1667,0.119747,0.171067,1.0,-0.464875,-0.387396,25.975,6,27,-1.661741,-1.661741,0.5667,15.685594,6904,0.200816,0.401632,0.8333,-1.906356
0.260227,0.433711,3.675,-1.025128,-0.732234,12.3917,-0.288833,-0.577667,0.49,-0.585791,-0.732239,2.4783,0.023036,0.025596,0.5236,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.878681,-0.732234,12.3917,6,28,-0.159907,-0.159907,0.8,4.35024,8898,0.200816,0.401632,0.8333,-2.536098
-0.420409,-0.700681,0.0,-1.311655,-0.936896,4.33,-0.32215,-0.644301,0.12,-0.749517,-0.936896,0.866,-0.539653,-0.599615,0.4213,0.389074,0.972685,0.2,0.119747,0.171067,1.0,-1.124275,-0.936896,4.33,5,29,1.127563,1.127563,1.0,1.673014,1759,0.146442,0.292885,0.8,-2.684833
-0.420409,-0.700681,0.0,-1.063929,-0.759949,11.3,-0.121122,-0.242245,2.3525,-0.607959,-0.759949,2.26,-0.108973,-0.121081,0.4996,0.536738,1.341845,0.25,0.119747,0.171067,1.0,-0.911939,-0.759949,11.3,4,30,0.161961,0.161961,0.85,0.332688,980,-0.343409,-0.686819,0.5,-2.759295
-0.420409,-0.700681,0.0,-1.258964,-0.89926,5.8125,-0.332956,-0.665912,0.0,-0.719408,-0.89926,1.1625,-0.843824,-0.937583,0.366,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-1.079112,-0.89926,5.8125,4,31,1.127563,1.127563,1.0,0.0,867,-0.751619,-1.503239,0.25,-4.360565
-0.420409,-0.700681,0.0,-0.437062,-0.312187,28.9375,-0.332956,-0.665912,0.0,-0.24975,-0.312187,5.7875,-0.568805,-0.632006,0.416,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.374625,-0.312187,28.9375,4,32,-2.091112,-2.091112,0.5,0.0,3408,-0.343409,-0.686819,0.5,-4.899964
-0.173472,-0.289121,1.3333,-1.311239,-0.936599,4.3417,-0.332209,-0.664417,0.0083,-0.749283,-0.936604,0.8683,-1.116093,-1.240104,0.3165,0.29073,0.726824,0.1667,0.119747,0.171067,1.0,-1.123919,-0.936599,4.3417,6,33,1.127563,1.127563,1.0,0.0,3759,-0.343409,-0.686819,0.5,-3.611585
-0.420409,-0.700681,0.0,-1.46555,-1.046822,0.0,-0.332956,-0.665912,0.0,-0.837457,-1.046822,0.0,-1.285505,-1.428339,0.2857,0.536738,1.341845,0.25,0.119747,0.171067,1.0,-1.256186,-1.046822,0.0,4,34,-0.481774,-0.481774,0.75,0.0,4501,-1.159829,-2.319659,0.0,-6.583182
-0.420409,-0.700681,0.0,-1.402641,-1.001887,1.77,-0.332956,-0.665912,0.0,-0.801509,-1.001887,0.354,-1.023687,-1.13743,0.3333,0.389074,0.972685,0.2,0.119747,0.171067,1.0,-1.202264,-1.001887,1.77,5,35,-2.219859,-2.219859,0.48,0.0,5835,-0.833261,-1.666523,0.2,-7.727766
-0.420409,-0.700681,0.0,-1.154265,-0.824475,8.7583,-0.322304,-0.644607,0.1183,-0.659576,-0.82447,1.7517,-0.408194,-0.453549,0.4452,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.98937,-0.824475,8.7583,6,36,-0.803642,-0.803642,0.7,0.0,5857,-0.343409,-0.686819,0.5,-5.183005
-0.420409,-0.700681,0.0,-1.46555,-1.046822,0.0,0.396193,0.792387,8.0975,-0.837457,-1.046822,0.0,-1.285505,-1.428339,0.2857,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-1.256186,-1.046822,0.0,4,37,-1.447377,-1.447377,0.6,0.0,6000,-0.751619,-1.503239,0.25,-7.149746
-0.27378,-0.456301,0.7917,-0.794406,-0.567433,18.8833,-0.332956,-0.665912,0.0,-0.453942,-0.567427,3.7767,-0.312487,-0.347208,0.4626,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-0.680919,-0.567433,18.8833,6,38,0.054457,0.054457,0.8333,0.0,6072,-0.343409,-0.686819,0.5,-3.219278
-0.420409,-0.700681,0.0,-1.095561,-0.782544,10.41,-0.332956,-0.665912,0.0,-0.626035,-0.782544,2.082,-0.886727,-0.985253,0.3582,-0.201583,-0.503957,0.0,-4.475804,-6.394006,0.0,-0.939052,-0.782544,10.41,5,39,-1.447377,-1.447377,0.6,0.0,7230,-0.506693,-1.013387,0.4,-10.932198
-0.420409,-0.700681,0.0,-1.46555,-1.046822,0.0,-0.074163,-0.148326,2.874,-0.837457,-1.046822,0.0,-1.285505,-1.428339,0.2857,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-1.256186,-1.046822,0.0,5,40,-0.932389,-0.932389,0.68,0.0,9505,-0.833261,-1.666523,0.2,-7.186756
-0.420409,-0.700681,0.0,-1.440316,-1.028797,0.71,-0.332956,-0.665912,0.0,-0.823037,-1.028797,0.142,-1.023687,-1.13743,0.3333,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,-1.234556,-1.028797,0.71,5,41,-0.417401,-0.417401,0.76,0.0,9696,-0.833261,-1.666523,0.2,-6.607459
-0.420409,-0.700681,0.0,-1.46555,-1.046822,0.0,-0.332956,-0.665912,0.0,-0.837457,-1.046822,0.0,-1.285505,-1.428339,0.2857,1.570387,3.925968,0.6,0.119747,0.171067,1.0,-1.256186,-1.046822,0.0,5,42,1.127563,1.127563,1.0,0.0,11096,-1.159829,-2.319659,0.0,-3.940195
