contribution,metric,normalizedValue,rawValue,teamNumber,weight
0.497767,disciplineIndex,0.711095,0.9667,1010,0.7
0.384561,defenseHeavyRate,0.961402,0.3,1010,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1010,0.5
1.76074,avgFuelPerMatch,1.257672,55.9669,1011,1.4
0.756478,avgAutoFuel,1.260796,8.3985,1011,0.6
1.120492,avgShootHeldSec,1.400615,10.6938,1011,0.8
-0.636959,avgPassHeldSec,-1.273917,2.7938,1011,0.5
1.509304,estimatedFuelPoints,1.257753,55.9668,1011,1.2
-0.213121,consistencyIndex,-0.236801,0.6937,1011,0.9
0.864531,reliabilityIndex,0.864531,0.9538,1011,1.0
-0.007802,disciplineIndex,-0.011146,0.9487,1011,0.7
0.413161,defenseHeavyRate,1.032902,0.3077,1011,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1011,0.5
0.468133,avgFuelPerMatch,0.334381,50.7414,1012,1.4
0.199411,avgAutoFuel,0.332351,7.61,1012,0.6
0.40369,avgShootHeldSec,0.504612,9.8014,1012,0.8
0.232306,avgPassHeldSec,0.464612,3.6643,1012,0.5
0.400895,estimatedFuelPoints,0.334079,50.7394,1012,1.2
0.058163,consistencyIndex,0.064625,0.7079,1012,0.9
0.916762,reliabilityIndex,0.916762,0.9571,1012,1.0
0.430358,disciplineIndex,0.614797,0.9643,1012,0.7
-0.464521,defenseHeavyRate,-1.161302,0.0714,1012,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1012,0.5
2.27954,avgFuelPerMatch,1.628243,58.0642,1013,1.4
0.975348,avgAutoFuel,1.62558,8.7083,1013,0.6
1.305557,avgShootHeldSec,1.631946,10.9242,1013,0.8
0.930314,avgPassHeldSec,1.860628,4.3633,1013,0.5
1.954584,estimatedFuelPoints,1.62882,58.0668,1013,1.2
1.221626,consistencyIndex,1.357362,0.7688,1013,0.9
0.013014,reliabilityIndex,0.013014,0.9,1013,1.0
-0.516179,disciplineIndex,-0.737399,0.9306,1013,0.7
-0.110551,defenseHeavyRate,-0.276378,0.1667,1013,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1013,0.5
-1.527735,avgFuelPerMatch,-1.091239,42.6729,1014,1.4
-0.656431,avgAutoFuel,-1.094052,6.3986,1014,0.6
-1.270482,avgShootHeldSec,-1.588103,7.7171,1014,0.8
-0.012346,avgPassHeldSec,-0.024693,3.4193,1014,0.5
-1.309532,estimatedFuelPoints,-1.091276,42.6728,1014,1.2
-1.961182,consistencyIndex,-2.179091,0.6022,1014,0.9
-0.439652,reliabilityIndex,-0.439652,0.8714,1014,1.0
-0.906591,disciplineIndex,-1.29513,0.9167,1014,0.7
0.331447,defenseHeavyRate,0.828617,0.2857,1014,0.4
-0.998395,timelineCoverageRate,-1.996791,0.8571,1014,0.5
0.725343,avgFuelPerMatch,0.518102,51.7812,1015,1.4
0.313367,avgAutoFuel,0.522279,7.7713,1015,0.6
1.375518,avgShootHeldSec,1.719397,11.0113,1015,0.8
-0.232633,avgPassHeldSec,-0.465267,3.1987,1015,0.5
0.622369,estimatedFuelPoints,0.518641,51.7839,1015,1.2
0.551058,consistencyIndex,0.612287,0.7337,1015,0.9
-0.778359,reliabilityIndex,-0.778359,0.85,1015,1.0
1.433069,disciplineIndex,2.047241,1.0,1015,0.7
-0.265436,defenseHeavyRate,-0.66359,0.125,1015,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1015,0.5
2.252651,avgFuelPerMatch,1.609037,57.9555,1016,1.4
0.965599,avgAutoFuel,1.609331,8.6945,1016,0.6
1.111577,avgShootHeldSec,1.389471,10.6827,1016,0.8
0.562037,avgPassHeldSec,1.124075,3.9945,1016,0.5
1.930772,estimatedFuelPoints,1.608976,57.9545,1016,1.2
0.421148,consistencyIndex,0.467942,0.7269,1016,0.9
-2.145852,reliabilityIndex,-2.145852,0.7636,1016,1.0
0.582028,disciplineIndex,0.831469,0.9697,1016,0.7
-0.392093,defenseHeavyRate,-0.980232,0.0909,1016,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1016,0.5
-2.738069,avgFuelPerMatch,-1.955763,37.78,1017,1.4
-1.1745,avgAutoFuel,-1.9575,5.6653,1017,0.6
-1.38671,avgShootHeldSec,-1.733387,7.5724,1017,0.8
-0.300637,avgPassHeldSec,-0.601273,3.1306,1017,0.5
-2.347649,estimatedFuelPoints,-1.956375,37.7769,1017,1.2
-1.023151,consistencyIndex,-1.136835,0.6513,1017,0.9
0.106396,reliabilityIndex,0.106396,0.9059,1017,1.0
0.056798,disciplineIndex,0.081141,0.951,1017,0.7
-0.511321,defenseHeavyRate,-1.278302,0.0588,1017,0.4
-0.246301,timelineCoverageRate,-0.492602,0.9412,1017,0.5
-2.382976,avgFuelPerMatch,-1.702126,39.2155,1018,1.4
-1.022181,avgAutoFuel,-1.703634,5.8809,1018,0.6
-1.198031,avgShootHeldSec,-1.497539,7.8073,1018,0.8
0.195358,avgPassHeldSec,0.390717,3.6273,1018,0.5
-2.041763,estimatedFuelPoints,-1.701469,39.2195,1018,1.2
-0.12333,consistencyIndex,-0.137033,0.6984,1018,0.9
0.445103,reliabilityIndex,0.445103,0.9273,1018,1.0
0.155104,disciplineIndex,0.221576,0.9545,1018,0.7
0.283161,defenseHeavyRate,0.707904,0.2727,1018,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1018,0.5
1.962467,avgFuelPerMatch,1.401762,56.7824,1019,1.4
0.840621,avgAutoFuel,1.401034,8.5176,1019,0.6
1.203466,avgShootHeldSec,1.504333,10.7971,1019,0.8
0.299111,avgPassHeldSec,0.598222,3.7312,1019,0.5
1.682454,estimatedFuelPoints,1.402045,56.7834,1019,1.2
-0.075569,consistencyIndex,-0.083965,0.7009,1019,0.9
0.850286,reliabilityIndex,0.850286,0.9529,1019,1.0
0.056798,disciplineIndex,0.081141,0.951,1019,0.7
0.799816,defenseHeavyRate,1.999541,0.4118,1019,0.4
-0.246301,timelineCoverageRate,-0.492602,0.9412,1019,0.5
0.336015,avgFuelPerMatch,0.240011,50.2073,1020,1.4
0.142891,avgAutoFuel,0.238152,7.53,1020,0.6
0.229469,avgShootHeldSec,0.286837,9.5845,1020,0.8
-0.235829,avgPassHeldSec,-0.471657,3.1955,1020,0.5
0.2879,estimatedFuelPoints,0.239917,50.2065,1020,1.2
-1.437719,consistencyIndex,-1.597465,0.6296,1020,0.9
1.01964,reliabilityIndex,1.01964,0.9636,1020,1.0
-1.546978,disciplineIndex,-2.209969,0.8939,1020,0.7
0.958416,defenseHeavyRate,2.396039,0.4545,1020,0.4
-1.346273,timelineCoverageRate,-2.692545,0.8182,1020,0.5
-1.023406,avgFuelPerMatch,-0.731004,44.7117,1021,1.4
-0.439963,avgAutoFuel,-0.733271,6.705,1021,0.6
-0.335041,avgShootHeldSec,-0.418801,8.8817,1021,0.8
-0.539198,avgPassHeldSec,-1.078395,2.8917,1021,0.5
-0.878352,estimatedFuelPoints,-0.73196,44.7063,1021,1.2
0.444073,consistencyIndex,0.493415,0.7281,1021,0.9
1.068705,reliabilityIndex,1.068705,0.9667,1021,1.0
-0.516179,disciplineIndex,-0.737399,0.9306,1021,0.7
-0.420321,defenseHeavyRate,-1.050803,0.0833,1021,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1021,0.5
-0.235547,avgFuelPerMatch,-0.168248,47.8967,1022,1.4
-0.098092,avgAutoFuel,-0.163487,7.1889,1022,0.6
0.321359,avgShootHeldSec,0.401699,9.6989,1022,0.8
-0.395502,avgPassHeldSec,-0.791004,3.0356,1022,0.5
-0.202587,estimatedFuelPoints,-0.168822,47.8933,1022,1.2
0.468909,consistencyIndex,0.52101,0.7294,1022,0.9
-0.866993,reliabilityIndex,-0.866993,0.8444,1022,1.0
1.433069,disciplineIndex,2.047241,1.0,1022,0.7
-0.317064,defenseHeavyRate,-0.792661,0.1111,1022,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1022,0.5
0.808013,avgFuelPerMatch,0.577152,52.1154,1023,1.4
0.349964,avgAutoFuel,0.583273,7.8231,1023,0.6
0.269069,avgShootHeldSec,0.336336,9.6338,1023,0.8
-0.019336,avgPassHeldSec,-0.038673,3.4123,1023,0.5
0.692405,estimatedFuelPoints,0.577004,52.1142,1023,1.2
0.60073,consistencyIndex,0.667478,0.7363,1023,0.9
1.108274,reliabilityIndex,1.108274,0.9692,1023,1.0
0.351714,disciplineIndex,0.502448,0.9615,1023,0.7
0.413161,defenseHeavyRate,1.032902,0.3077,1023,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1023,0.5
1.994575,avgFuelPerMatch,1.424696,56.9122,1024,1.4
0.854115,avgAutoFuel,1.423524,8.5367,1024,0.6
0.390999,avgShootHeldSec,0.488749,9.7856,1024,0.8
-0.556473,avgPassHeldSec,-1.112946,2.8744,1024,0.5
1.709171,estimatedFuelPoints,1.424309,56.9094,1024,1.2
1.233089,consistencyIndex,1.370098,0.7694,1024,0.9
-0.866993,reliabilityIndex,-0.866993,0.8444,1024,1.0
-0.128577,disciplineIndex,-0.183681,0.9444,1024,0.7
-0.72972,defenseHeavyRate,-1.824299,0.0,1024,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1024,0.5
-0.274631,avgFuelPerMatch,-0.196165,47.7387,1025,1.4
-0.117591,avgAutoFuel,-0.195985,7.1613,1025,0.6
-0.385644,avgShootHeldSec,-0.482055,8.8187,1025,0.8
0.04627,avgPassHeldSec,0.092541,3.478,1025,0.5
-0.235537,estimatedFuelPoints,-0.196281,47.7379,1025,1.2
0.342819,consistencyIndex,0.38091,0.7228,1025,0.9
-0.09303,reliabilityIndex,-0.09303,0.8933,1025,1.0
-0.440344,disciplineIndex,-0.629063,0.9333,1025,0.7
0.013134,defenseHeavyRate,0.032835,0.2,1025,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1025,0.5
1.681633,avgFuelPerMatch,1.201166,55.6471,1026,1.4
0.721718,avgAutoFuel,1.202864,8.3493,1026,0.6
1.574157,avgShootHeldSec,1.967696,11.2586,1026,0.8
0.319282,avgPassHeldSec,0.638565,3.7514,1026,0.5
1.4416,estimatedFuelPoints,1.201333,55.6475,1026,1.2
0.348551,consistencyIndex,0.387279,0.7231,1026,0.9
0.239346,reliabilityIndex,0.239346,0.9143,1026,1.0
0.09612,disciplineIndex,0.137315,0.9524,1026,0.7
0.331447,defenseHeavyRate,0.828617,0.2857,1026,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1026,0.5
-1.971978,avgFuelPerMatch,-1.408556,40.877,1027,1.4
-0.841249,avgAutoFuel,-1.402081,6.137,1027,0.6
-0.726776,avgShootHeldSec,-0.90847,8.394,1027,0.8
0.142134,avgPassHeldSec,0.284268,3.574,1027,0.5
-1.690055,estimatedFuelPoints,-1.40838,40.8782,1027,1.2
0.510939,consistencyIndex,0.56771,0.7316,1027,0.9
-0.303535,reliabilityIndex,-0.303535,0.88,1027,1.0
0.497767,disciplineIndex,0.711095,0.9667,1027,0.7
0.384561,defenseHeavyRate,0.961402,0.3,1027,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1027,0.5
-0.736141,avgFuelPerMatch,-0.525815,45.873,1028,1.4
-0.318446,avgAutoFuel,-0.530744,6.877,1028,0.6
-0.107486,avgShootHeldSec,-0.134357,9.165,1028,0.8
-0.499953,avgPassHeldSec,-0.999907,2.931,1028,0.5
-0.630543,estimatedFuelPoints,-0.525453,45.875,1028,1.2
-0.283808,consistencyIndex,-0.315342,0.69,1028,0.9
-0.303535,reliabilityIndex,-0.303535,0.88,1028,1.0
0.028711,disciplineIndex,0.041016,0.95,1028,0.7
-0.358293,defenseHeavyRate,-0.895732,0.1,1028,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1028,0.5
-0.145408,avgFuelPerMatch,-0.103863,48.2611,1029,1.4
-0.063545,avgAutoFuel,-0.105908,7.2378,1029,0.6
-1.102125,avgShootHeldSec,-1.377657,7.9267,1029,0.8
-0.624077,avgPassHeldSec,-1.248154,2.8067,1029,0.5
-0.124535,estimatedFuelPoints,-0.103779,48.2614,1029,1.2
-2.354734,consistencyIndex,-2.616371,0.5816,1029,0.9
0.540068,reliabilityIndex,0.540068,0.9333,1029,1.0
-0.128577,disciplineIndex,-0.183681,0.9444,1029,0.7
0.508246,defenseHeavyRate,1.270615,0.3333,1029,0.4
-1.707564,timelineCoverageRate,-3.415128,0.7778,1029,0.5
-1.395468,avgFuelPerMatch,-0.996763,43.2076,1030,1.4
-0.598075,avgAutoFuel,-0.996791,6.4812,1030,0.6
-0.992243,avgShootHeldSec,-1.240304,8.0635,1030,0.8
0.094702,avgPassHeldSec,0.189403,3.5265,1030,0.5
-1.1966,estimatedFuelPoints,-0.997167,43.2054,1030,1.2
-0.486315,consistencyIndex,-0.54035,0.6794,1030,0.9
0.106396,reliabilityIndex,0.106396,0.9059,1030,1.0
-0.49371,disciplineIndex,-0.7053,0.9314,1030,0.7
-0.074151,defenseHeavyRate,-0.185378,0.1765,1030,0.4
-0.246301,timelineCoverageRate,-0.492602,0.9412,1030,0.5
-1.413007,avgFuelPerMatch,-1.00929,43.1367,1031,1.4
-0.605422,avgAutoFuel,-1.009037,6.4708,1031,0.6
-0.084031,avgShootHeldSec,-0.105039,9.1942,1031,0.8
0.266258,avgPassHeldSec,0.532515,3.6983,1031,0.5
-1.210658,estimatedFuelPoints,-1.008882,43.1391,1031,1.2
0.707715,consistencyIndex,0.78635,0.7419,1031,0.9
1.068705,reliabilityIndex,1.068705,0.9667,1031,1.0
-0.516179,disciplineIndex,-0.737399,0.9306,1031,0.7
-0.110551,defenseHeavyRate,-0.276378,0.1667,1031,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1031,0.5
1.099904,avgFuelPerMatch,0.785646,53.2954,1032,1.4
0.468936,avgAutoFuel,0.781561,7.9915,1032,0.6
0.628675,avgShootHeldSec,0.785843,10.0815,1032,0.8
-0.016241,avgPassHeldSec,-0.032482,3.4154,1032,0.5
0.94172,estimatedFuelPoints,0.784766,53.29,1032,1.2
0.363834,consistencyIndex,0.40426,0.7239,1032,0.9
1.108274,reliabilityIndex,1.108274,0.9692,1032,1.0
0.351714,disciplineIndex,0.502448,0.9615,1032,0.7
0.413161,defenseHeavyRate,1.032902,0.3077,1032,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1032,0.5
-0.909767,avgFuelPerMatch,-0.649833,45.1711,1033,1.4
-0.389307,avgAutoFuel,-0.648845,6.7767,1033,0.6
-0.294477,avgShootHeldSec,-0.368097,8.9322,1033,0.8
0.478756,avgPassHeldSec,0.957511,3.9111,1033,0.5
-0.780115,estimatedFuelPoints,-0.650096,45.1696,1033,1.2
-0.702196,consistencyIndex,-0.780218,0.6681,1033,0.9
-0.162671,reliabilityIndex,-0.162671,0.8889,1033,1.0
-0.128577,disciplineIndex,-0.183681,0.9444,1033,0.7
-0.317064,defenseHeavyRate,-0.792661,0.1111,1033,0.4
-0.714013,timelineCoverageRate,-1.428025,0.8889,1033,0.5
-0.399477,avgFuelPerMatch,-0.28534,47.234,1034,1.4
-0.170083,avgAutoFuel,-0.283472,7.087,1034,0.6
-0.54886,avgShootHeldSec,-0.686076,8.6155,1034,0.8
-0.306728,avgPassHeldSec,-0.613456,3.1245,1034,0.5
-0.342383,estimatedFuelPoints,-0.285319,47.234,1034,1.2
-0.348763,consistencyIndex,-0.387514,0.6866,1034,0.9
-0.46181,reliabilityIndex,-0.46181,0.87,1034,1.0
0.028711,disciplineIndex,0.041016,0.95,1034,0.7
-0.172579,defenseHeavyRate,-0.431448,0.15,1034,0.4
-0.167604,timelineCoverageRate,-0.335208,0.95,1034,0.5
0.015603,avgFuelPerMatch,0.011145,48.912,1035,1.4
0.005126,avgAutoFuel,0.008543,7.335,1035,0.6
-0.249657,avgShootHeldSec,-0.312072,8.988,1035,0.8
0.7293,avgPassHeldSec,1.458599,4.162,1035,0.5
0.013608,estimatedFuelPoints,0.01134,48.9129,1035,1.2
-0.004882,consistencyIndex,-0.005425,0.7046,1035,0.9
-0.303535,reliabilityIndex,-0.303535,0.88,1035,1.0
0.497767,disciplineIndex,0.711095,0.9667,1035,0.7
0.013134,defenseHeavyRate,0.032835,0.2,1035,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1035,0.5
