alliance,canonicalX,canonicalY,fingerprint,index,kind,matchNumber,tSec,teamNumber,x,y
red,0.6535,0.7028,fake-687-1-red-right-33438,0,shot,1,3.64,687,0.6535,0.7028
blue,0.654,0.3111,fake-6904-1-blue-left-59859,0,path,1,0.0,6904,0.346,0.3111
blue,0.656,0.3606,fake-6904-1-blue-left-59859,1,path,1,2.0,6904,0.344,0.3606
blue,0.6342,0.3764,fake-6904-1-blue-left-59859,2,path,1,4.0,6904,0.3658,0.3764
blue,0.5789,0.3824,fake-6904-1-blue-left-59859,3,path,1,6.0,6904,0.4211,0.3824
blue,0.5244,0.409,fake-6904-1-blue-left-59859,4,path,1,8.0,6904,0.4756,0.409
blue,0.4969,0.4513,fake-6904-1-blue-left-59859,5,path,1,10.0,6904,0.5031,0.4513
blue,0.4988,0.412,fake-6904-1-blue-left-59859,6,path,1,12.0,6904,0.5012,0.412
blue,0.4346,0.4164,fake-6904-1-blue-left-59859,7,path,1,14.0,6904,0.5654,0.4164
blue,0.45289999999999997,0.3619,fake-6904-1-blue-left-59859,8,path,1,16.0,6904,0.5471,0.3619
blue,0.405,0.3405,fake-6904-1-blue-left-59859,9,path,1,18.0,6904,0.595,0.3405
blue,0.3944,0.3594,fake-6904-1-blue-left-59859,10,path,1,20.0,6904,0.6056,0.3594
blue,0.6342,0.3764,fake-6904-1-blue-left-59859,0,shot,1,4.0,6904,0.3658,0.3764
blue,0.4346,0.4164,fake-6904-1-blue-left-59859,1,shot,1,14.0,6904,0.5654,0.4164
blue,0.6609,0.7063,fake-5835-1-blue-right-30033,0,path,1,0.0,5835,0.3391,0.7063
blue,0.6085,0.7302,fake-5835-1-blue-right-30033,1,path,1,2.5,5835,0.3915,0.7302
blue,0.5811999999999999,0.7576,fake-5835-1-blue-right-30033,2,path,1,5.0,5835,0.4188,0.7576
blue,0.5611999999999999,0.7989,fake-5835-1-blue-right-30033,3,path,1,7.5,5835,0.4388,0.7989
blue,0.4918,0.8013,fake-5835-1-blue-right-30033,4,path,1,10.0,5835,0.5082,0.8013
blue,0.4737,0.7722,fake-5835-1-blue-right-30033,5,path,1,12.5,5835,0.5263,0.7722
blue,0.486,0.706,fake-5835-1-blue-right-30033,6,path,1,15.0,5835,0.514,0.706
blue,0.4625,0.6711,fake-5835-1-blue-right-30033,7,path,1,17.5,5835,0.5375,0.6711
blue,0.37039999999999995,0.6383,fake-5835-1-blue-right-30033,8,path,1,20.0,5835,0.6296,0.6383
blue,0.5611999999999999,0.7989,fake-5835-1-blue-right-30033,0,shot,1,7.5,5835,0.4388,0.7989
blue,0.4918,0.8013,fake-5835-1-blue-right-30033,1,shot,1,10.0,5835,0.5082,0.8013
blue,0.486,0.706,fake-5835-1-blue-right-30033,2,shot,1,15.0,5835,0.514,0.706
blue,0.6311,0.3197,fake-294-1-blue-left-99127,0,path,1,0.0,294,0.3689,0.3197
blue,0.6254,0.3279,fake-294-1-blue-left-99127,1,path,1,2.5,294,0.3746,0.3279
blue,0.5947,0.3382,fake-294-1-blue-left-99127,2,path,1,5.0,294,0.4053,0.3382
blue,0.5199,0.3609,fake-294-1-blue-left-99127,3,path,1,7.5,294,0.4801,0.3609
blue,0.5248999999999999,0.4073,fake-294-1-blue-left-99127,4,path,1,10.0,294,0.4751,0.4073
blue,0.4881,0.3777,fake-294-1-blue-left-99127,5,path,1,12.5,294,0.5119,0.3777
blue,0.4554,0.3724,fake-294-1-blue-left-99127,6,path,1,15.0,294,0.5446,0.3724
blue,0.4385,0.3519,fake-294-1-blue-left-99127,7,path,1,17.5,294,0.5615,0.3519
blue,0.39580000000000004,0.364,fake-294-1-blue-left-99127,8,path,1,20.0,294,0.6042,0.364
blue,0.4881,0.3777,fake-294-1-blue-left-99127,0,shot,1,12.5,294,0.5119,0.3777
blue,0.4385,0.3519,fake-294-1-blue-left-99127,1,shot,1,17.5,294,0.5615,0.3519
red,0.6917,0.6731,fake-1159-2-red-right-13433,0,path,2,0.0,1159,0.6917,0.6731
red,0.672,0.6869,fake-1159-2-red-right-13433,1,path,2,2.22,1159,0.672,0.6869
red,0.6487,0.7343,fake-1159-2-red-right-13433,2,path,2,4.44,1159,0.6487,0.7343
red,0.5731,0.7322,fake-1159-2-red-right-13433,3,path,2,6.67,1159,0.5731,0.7322
red,0.5379,0.7657,fake-1159-2-red-right-13433,4,path,2,8.89,1159,0.5379,0.7657
red,0.5028,0.775,fake-1159-2-red-right-13433,5,path,2,11.11,1159,0.5028,0.775
red,0.5146,0.7552,fake-1159-2-red-right-13433,6,path,2,13.33,1159,0.5146,0.7552
red,0.459,0.7098,fake-1159-2-red-right-13433,7,path,2,15.56,1159,0.459,0.7098
red,0.4263,0.7112,fake-1159-2-red-right-13433,8,path,2,17.78,1159,0.4263,0.7112
red,0.4073,0.6879,fake-1159-2-red-right-13433,9,path,2,20.0,1159,0.4073,0.6879
red,0.459,0.7098,fake-1159-2-red-right-13433,0,shot,2,15.56,1159,0.459,0.7098
red,0.4263,0.7112,fake-1159-2-red-right-13433,1,shot,2,17.78,1159,0.4263,0.7112
red,0.6802,0.3732,fake-6220-2-red-left-17348,0,path,2,0.0,6220,0.6802,0.3732
red,0.6839,0.377,fake-6220-2-red-left-17348,1,path,2,1.43,6220,0.6839,0.377
red,0.6171,0.4037,fake-6220-2-red-left-17348,2,path,2,2.86,6220,0.6171,0.4037
red,0.592,0.3956,fake-6220-2-red-left-17348,3,path,2,4.29,6220,0.592,0.3956
red,0.628,0.3984,fake-6220-2-red-left-17348,4,path,2,5.71,6220,0.628,0.3984
red,0.5651,0.418,fake-6220-2-red-left-17348,5,path,2,7.14,6220,0.5651,0.418
red,0.5985,0.3997,fake-6220-2-red-left-17348,6,path,2,8.57,6220,0.5985,0.3997
red,0.5368,0.4185,fake-6220-2-red-left-17348,7,path,2,10.0,6220,0.5368,0.4185
red,0.5673,0.3849,fake-6220-2-red-left-17348,8,path,2,11.43,6220,0.5673,0.3849
red,0.5223,0.394,fake-6220-2-red-left-17348,9,path,2,12.86,6220,0.5223,0.394
red,0.475,0.3694,fake-6220-2-red-left-17348,10,path,2,14.29,6220,0.475,0.3694
red,0.4736,0.3279,fake-6220-2-red-left-17348,11,path,2,15.71,6220,0.4736,0.3279
red,0.4884,0.3225,fake-6220-2-red-left-17348,12,path,2,17.14,6220,0.4884,0.3225
red,0.4536,0.2845,fake-6220-2-red-left-17348,13,path,2,18.57,6220,0.4536,0.2845
red,0.458,0.2801,fake-6220-2-red-left-17348,14,path,2,20.0,6220,0.458,0.2801
red,0.628,0.3984,fake-6220-2-red-left-17348,0,shot,2,5.71,6220,0.628,0.3984
red,0.5673,0.3849,fake-6220-2-red-left-17348,1,shot,2,11.43,6220,0.5673,0.3849
red,0.6481,0.2848,fake-5124-2-red-left-99763,0,path,2,0.0,5124,0.6481,0.2848
red,0.6618,0.294,fake-5124-2-red-left-99763,1,path,2,1.82,5124,0.6618,0.294
red,0.6612,0.3611,fake-5124-2-red-left-99763,2,path,2,3.64,5124,0.6612,0.3611
red,0.6186,0.3704,fake-5124-2-red-left-99763,3,path,2,5.45,5124,0.6186,0.3704
red,0.6075,0.3893,fake-5124-2-red-left-99763,4,path,2,7.27,5124,0.6075,0.3893
red,0.5174,0.4186,fake-5124-2-red-left-99763,5,path,2,9.09,5124,0.5174,0.4186
red,0.4952,0.4028,fake-5124-2-red-left-99763,6,path,2,10.91,5124,0.4952,0.4028
red,0.5035,0.4159,fake-5124-2-red-left-99763,7,path,2,12.73,5124,0.5035,0.4159
red,0.4908,0.4187,fake-5124-2-red-left-99763,8,path,2,14.55,5124,0.4908,0.4187
red,0.4543,0.3857,fake-5124-2-red-left-99763,9,path,2,16.36,5124,0.4543,0.3857
red,0.4833,0.3748,fake-5124-2-red-left-99763,10,path,2,18.18,5124,0.4833,0.3748
red,0.4321,0.3617,fake-5124-2-red-left-99763,11,path,2,20.0,5124,0.4321,0.3617
red,0.4543,0.3857,fake-5124-2-red-left-99763,0,shot,2,16.36,5124,0.4543,0.3857
blue,0.6503,0.363,fake-4470-2-blue-left-85911,0,path,2,0.0,4470,0.3497,0.363
blue,0.6134,0.3638,fake-4470-2-blue-left-85911,1,path,2,2.0,4470,0.3866,0.3638
blue,0.585,0.3984,fake-4470-2-blue-left-85911,2,path,2,4.0,4470,0.415,0.3984
blue,0.5614,0.3892,fake-4470-2-blue-left-85911,3,path,2,6.0,4470,0.4386,0.3892
blue,0.5211,0.4077,fake-4470-2-blue-left-85911,4,path,2,8.0,4470,0.4789,0.4077
blue,0.5355,0.4423,fake-4470-2-blue-left-85911,5,path,2,10.0,4470,0.4645,0.4423
blue,0.49119999999999997,0.4197,fake-4470-2-blue-left-85911,6,path,2,12.0,4470,0.5088,0.4197
blue,0.45389999999999997,0.3778,fake-4470-2-blue-left-85911,7,path,2,14.0,4470,0.5461,0.3778
blue,0.4688,0.3648,fake-4470-2-blue-left-85911,8,path,2,16.0,4470,0.5312,0.3648
blue,0.39570000000000005,0.3318,fake-4470-2-blue-left-85911,9,path,2,18.0,4470,0.6043,0.3318
blue,0.41500000000000004,0.3214,fake-4470-2-blue-left-85911,10,path,2,20.0,4470,0.585,0.3214
blue,0.5355,0.4423,fake-4470-2-blue-left-85911,0,shot,2,10.0,4470,0.4645,0.4423
blue,0.6396,0.4896,fake-3408-2-blue-center-47495,0,path,2,0.0,3408,0.3604,0.4896
blue,0.6218,0.5163,fake-3408-2-blue-center-47495,1,path,2,1.54,3408,0.3782,0.5163
blue,0.6112,0.5163,fake-3408-2-blue-center-47495,2,path,2,3.08,3408,0.3888,0.5163
blue,0.5739000000000001,0.5441,fake-3408-2-blue-center-47495,3,path,2,4.62,3408,0.4261,0.5441
blue,0.5723,0.5589,fake-3408-2-blue-center-47495,4,path,2,6.15,3408,0.4277,0.5589
blue,0.5571999999999999,0.5647,fake-3408-2-blue-center-47495,5,path,2,7.69,3408,0.4428,0.5647
blue,0.5448,0.6106,fake-3408-2-blue-center-47495,6,path,2,9.23,3408,0.4552,0.6106
blue,0.5161,0.605,fake-3408-2-blue-center-47495,7,path,2,10.77,3408,0.4839,0.605
blue,0.5064,0.605,fake-3408-2-blue-center-47495,8,path,2,12.31,3408,0.4936,0.605
blue,0.4717,0.5812,fake-3408-2-blue-center-47495,9,path,2,13.85,3408,0.5283,0.5812
blue,0.45820000000000005,0.562,fake-3408-2-blue-center-47495,10,path,2,15.38,3408,0.5418,0.562
blue,0.4454,0.5578,fake-3408-2-blue-center-47495,11,path,2,16.92,3408,0.5546,0.5578
blue,0.4313,0.5387,fake-3408-2-blue-center-47495,12,path,2,18.46,3408,0.5687,0.5387
blue,0.40169999999999995,0.4984,fake-3408-2-blue-center-47495,13,path,2,20.0,3408,0.5983,0.4984
blue,0.4717,0.5812,fake-3408-2-blue-center-47495,0,shot,2,13.85,3408,0.5283,0.5812
blue,0.4454,0.5578,fake-3408-2-blue-center-47495,1,shot,2,16.92,3408,0.5546,0.5578
blue,0.6416999999999999,0.4879,fake-4501-2-blue-center-89742,0,path,2,0.0,4501,0.3583,0.4879
blue,0.628,0.5006,fake-4501-2-blue-center-89742,1,path,2,2.0,4501,0.372,0.5006
blue,0.6023000000000001,0.5057,fake-4501-2-blue-center-89742,2,path,2,4.0,4501,0.3977,0.5057
blue,0.5308999999999999,0.5233,fake-4501-2-blue-center-89742,3,path,2,6.0,4501,0.4691,0.5233
blue,0.5488,0.5689,fake-4501-2-blue-center-89742,4,path,2,8.0,4501,0.4512,0.5689
blue,0.5264,0.5854,fake-4501-2-blue-center-89742,5,path,2,10.0,4501,0.4736,0.5854
blue,0.5015000000000001,0.5588,fake-4501-2-blue-center-89742,6,path,2,12.0,4501,0.4985,0.5588
blue,0.4939,0.5568,fake-4501-2-blue-center-89742,7,path,2,14.0,4501,0.5061,0.5568
blue,0.4264,0.5197,fake-4501-2-blue-center-89742,8,path,2,16.0,4501,0.5736,0.5197
blue,0.40069999999999995,0.5085,fake-4501-2-blue-center-89742,9,path,2,18.0,4501,0.5993,0.5085
blue,0.3879,0.5062,fake-4501-2-blue-center-89742,10,path,2,20.0,4501,0.6121,0.5062
blue,0.4264,0.5197,fake-4501-2-blue-center-89742,0,shot,2,16.0,4501,0.5736,0.5197
red,0.72,0.6954,fake-4123-3-red-right-83936,0,path,3,0.0,4123,0.72,0.6954
red,0.6235,0.6945,fake-4123-3-red-right-83936,1,path,3,1.54,4123,0.6235,0.6945
red,0.6259,0.7084,fake-4123-3-red-right-83936,2,path,3,3.08,4123,0.6259,0.7084
red,0.6414,0.6948,fake-4123-3-red-right-83936,3,path,3,4.62,4123,0.6414,0.6948
red,0.5583,0.7085,fake-4123-3-red-right-83936,4,path,3,6.15,4123,0.5583,0.7085
red,0.5914,0.7092,fake-4123-3-red-right-83936,5,path,3,7.69,4123,0.5914,0.7092
red,0.5287,0.7324,fake-4123-3-red-right-83936,6,path,3,9.23,4123,0.5287,0.7324
red,0.5685,0.7226,fake-4123-3-red-right-83936,7,path,3,10.77,4123,0.5685,0.7226
red,0.5098,0.714,fake-4123-3-red-right-83936,8,path,3,12.31,4123,0.5098,0.714
red,0.4969,0.7195,fake-4123-3-red-right-83936,9,path,3,13.85,4123,0.4969,0.7195
red,0.4982,0.6823,fake-4123-3-red-right-83936,10,path,3,15.38,4123,0.4982,0.6823
red,0.474,0.6807,fake-4123-3-red-right-83936,11,path,3,16.92,4123,0.474,0.6807
red,0.4433,0.6615,fake-4123-3-red-right-83936,12,path,3,18.46,4123,0.4433,0.6615
red,0.4133,0.6536,fake-4123-3-red-right-83936,13,path,3,20.0,4123,0.4133,0.6536
red,0.5287,0.7324,fake-4123-3-red-right-83936,0,shot,3,9.23,4123,0.5287,0.7324
red,0.708,0.3298,fake-8898-3-red-left-37158,0,path,3,0.0,8898,0.708,0.3298
red,0.6657,0.3433,fake-8898-3-red-left-37158,1,path,3,1.82,8898,0.6657,0.3433
red,0.6244,0.3574,fake-8898-3-red-left-37158,2,path,3,3.64,8898,0.6244,0.3574
red,0.5834,0.387,fake-8898-3-red-left-37158,3,path,3,5.45,8898,0.5834,0.387
red,0.5647,0.4282,fake-8898-3-red-left-37158,4,path,3,7.27,8898,0.5647,0.4282
red,0.5497,0.4475,fake-8898-3-red-left-37158,5,path,3,9.09,8898,0.5497,0.4475
red,0.5684,0.418,fake-8898-3-red-left-37158,6,path,3,10.91,8898,0.5684,0.418
red,0.5336,0.4042,fake-8898-3-red-left-37158,7,path,3,12.73,8898,0.5336,0.4042
red,0.471,0.385,fake-8898-3-red-left-37158,8,path,3,14.55,8898,0.471,0.385
red,0.4649,0.3674,fake-8898-3-red-left-37158,9,path,3,16.36,8898,0.4649,0.3674
red,0.4446,0.3649,fake-8898-3-red-left-37158,10,path,3,18.18,8898,0.4446,0.3649
red,0.4158,0.3332,fake-8898-3-red-left-37158,11,path,3,20.0,8898,0.4158,0.3332
red,0.5834,0.387,fake-8898-3-red-left-37158,0,shot,3,5.45,8898,0.5834,0.387
red,0.471,0.385,fake-8898-3-red-left-37158,1,shot,3,14.55,8898,0.471,0.385
red,0.6749,0.4998,fake-4322-3-red-center-37432,0,path,3,0.0,4322,0.6749,0.4998
red,0.6539,0.5293,fake-4322-3-red-center-37432,1,path,3,2.5,4322,0.6539,0.5293
red,0.6093,0.5654,fake-4322-3-red-center-37432,2,path,3,5.0,4322,0.6093,0.5654
red,0.5906,0.5746,fake-4322-3-red-center-37432,3,path,3,7.5,4322,0.5906,0.5746
red,0.5479,0.5862,fake-4322-3-red-center-37432,4,path,3,10.0,4322,0.5479,0.5862
red,0.5395,0.5509,fake-4322-3-red-center-37432,5,path,3,12.5,4322,0.5395,0.5509
red,0.4682,0.5481,fake-4322-3-red-center-37432,6,path,3,15.0,4322,0.4682,0.5481
red,0.4626,0.5182,fake-4322-3-red-center-37432,7,path,3,17.5,4322,0.4626,0.5182
red,0.4507,0.4791,fake-4322-3-red-center-37432,8,path,3,20.0,4322,0.4507,0.4791
red,0.5906,0.5746,fake-4322-3-red-center-37432,0,shot,3,7.5,4322,0.5906,0.5746
red,0.5395,0.5509,fake-4322-3-red-center-37432,1,shot,3,12.5,4322,0.5395,0.5509
blue,0.6657,0.4804,fake-9408-3-blue-center-96031,0,path,3,0.0,9408,0.3343,0.4804
blue,0.6098,0.5287,fake-9408-3-blue-center-96031,1,path,3,2.5,9408,0.3902,0.5287
blue,0.5795,0.5556,fake-9408-3-blue-center-96031,2,path,3,5.0,9408,0.4205,0.5556
blue,0.5271,0.5879,fake-9408-3-blue-center-96031,3,path,3,7.5,9408,0.4729,0.5879
blue,0.5183,0.6089,fake-9408-3-blue-center-96031,4,path,3,10.0,9408,0.4817,0.6089
blue,0.4607,0.6032,fake-9408-3-blue-center-96031,5,path,3,12.5,9408,0.5393,0.6032
blue,0.43620000000000003,0.5717,fake-9408-3-blue-center-96031,6,path,3,15.0,9408,0.5638,0.5717
blue,0.4476,0.5541,fake-9408-3-blue-center-96031,7,path,3,17.5,9408,0.5524,0.5541
blue,0.3994,0.5043,fake-9408-3-blue-center-96031,8,path,3,20.0,9408,0.6006,0.5043
blue,0.43620000000000003,0.5717,fake-9408-3-blue-center-96031,0,shot,3,15.0,9408,0.5638,0.5717
blue,0.4476,0.5541,fake-9408-3-blue-center-96031,1,shot,3,17.5,9408,0.5524,0.5541
blue,0.6601,0.2973,fake-597-3-blue-left-43732,0,path,3,0.0,597,0.3399,0.2973
blue,0.6492,0.3194,fake-597-3-blue-left-43732,1,path,3,1.67,597,0.3508,0.3194
blue,0.5738,0.32,fake-597-3-blue-left-43732,2,path,3,3.33,597,0.4262,0.32
blue,0.5696,0.3654,fake-597-3-blue-left-43732,3,path,3,5.0,597,0.4304,0.3654
blue,0.5347,0.3693,fake-597-3-blue-left-43732,4,path,3,6.67,597,0.4653,0.3693
blue,0.5546,0.4081,fake-597-3-blue-left-43732,5,path,3,8.33,597,0.4454,0.4081
blue,0.4962,0.4014,fake-597-3-blue-left-43732,6,path,3,10.0,597,0.5038,0.4014
blue,0.5092,0.4,fake-597-3-blue-left-43732,7,path,3,11.67,597,0.4908,0.4
blue,0.4659,0.3881,fake-597-3-blue-left-43732,8,path,3,13.33,597,0.5341,0.3881
blue,0.4458,0.381,fake-597-3-blue-left-43732,9,path,3,15.0,597,0.5542,0.381
blue,0.4073,0.3986,fake-597-3-blue-left-43732,10,path,3,16.67,597,0.5927,0.3986
blue,0.40390000000000004,0.3952,fake-597-3-blue-left-43732,11,path,3,18.33,597,0.5961,0.3952
blue,0.42469999999999997,0.376,fake-597-3-blue-left-43732,12,path,3,20.0,597,0.5753,0.376
blue,0.5696,0.3654,fake-597-3-blue-left-43732,0,shot,3,5.0,597,0.4304,0.3654
blue,0.5347,0.3693,fake-597-3-blue-left-43732,1,shot,3,6.67,597,0.4653,0.3693
blue,0.687,0.7005,fake-1515-3-blue-right-34049,0,path,3,0.0,1515,0.313,0.7005
blue,0.6194999999999999,0.6995,fake-1515-3-blue-right-34049,1,path,3,1.43,1515,0.3805,0.6995
blue,0.6029,0.7192,fake-1515-3-blue-right-34049,2,path,3,2.86,1515,0.3971,0.7192
blue,0.5752999999999999,0.7282,fake-1515-3-blue-right-34049,3,path,3,4.29,1515,0.4247,0.7282
blue,0.5529,0.7238,fake-1515-3-blue-right-34049,4,path,3,5.71,1515,0.4471,0.7238
blue,0.5446,0.74,fake-1515-3-blue-right-34049,5,path,3,7.14,1515,0.4554,0.74
blue,0.5475,0.766,fake-1515-3-blue-right-34049,6,path,3,8.57,1515,0.4525,0.766
blue,0.5327,0.7748,fake-1515-3-blue-right-34049,7,path,3,10.0,1515,0.4673,0.7748
blue,0.5083,0.7466,fake-1515-3-blue-right-34049,8,path,3,11.43,1515,0.4917,0.7466
blue,0.4719,0.7329,fake-1515-3-blue-right-34049,9,path,3,12.86,1515,0.5281,0.7329
blue,0.49139999999999995,0.7018,fake-1515-3-blue-right-34049,10,path,3,14.29,1515,0.5086,0.7018
blue,0.45220000000000005,0.7058,fake-1515-3-blue-right-34049,11,path,3,15.71,1515,0.5478,0.7058
blue,0.4171,0.6671,fake-1515-3-blue-right-34049,12,path,3,17.14,1515,0.5829,0.6671
blue,0.4094,0.663,fake-1515-3-blue-right-34049,13,path,3,18.57,1515,0.5906,0.663
blue,0.39059999999999995,0.6423,fake-1515-3-blue-right-34049,14,path,3,20.0,1515,0.6094,0.6423
blue,0.6029,0.7192,fake-1515-3-blue-right-34049,0,shot,3,2.86,1515,0.3971,0.7192
blue,0.5083,0.7466,fake-1515-3-blue-right-34049,1,shot,3,11.43,1515,0.4917,0.7466
red,0.6934,0.3095,fake-1759-4-red-left-73836,0,path,4,0.0,1759,0.6934,0.3095
red,0.63,0.3279,fake-1759-4-red-left-73836,1,path,4,1.67,1759,0.63,0.3279
red,0.6371,0.3769,fake-1759-4-red-left-73836,2,path,4,3.33,1759,0.6371,0.3769
red,0.6113,0.3696,fake-1759-4-red-left-73836,3,path,4,5.0,1759,0.6113,0.3696
red,0.5888,0.4061,fake-1759-4-red-left-73836,4,path,4,6.67,1759,0.5888,0.4061
red,0.5401,0.4081,fake-1759-4-red-left-73836,5,path,4,8.33,1759,0.5401,0.4081
red,0.5503,0.4117,fake-1759-4-red-left-73836,6,path,4,10.0,1759,0.5503,0.4117
red,0.5184,0.4013,fake-1759-4-red-left-73836,7,path,4,11.67,1759,0.5184,0.4013
red,0.5129,0.3946,fake-1759-4-red-left-73836,8,path,4,13.33,1759,0.5129,0.3946
red,0.4752,0.3769,fake-1759-4-red-left-73836,9,path,4,15.0,1759,0.4752,0.3769
red,0.4655,0.3504,fake-1759-4-red-left-73836,10,path,4,16.67,1759,0.4655,0.3504
red,0.4207,0.3453,fake-1759-4-red-left-73836,11,path,4,18.33,1759,0.4207,0.3453
red,0.4511,0.3483,fake-1759-4-red-left-73836,12,path,4,20.0,1759,0.4511,0.3483
red,0.5184,0.4013,fake-1759-4-red-left-73836,0,shot,4,11.67,1759,0.5184,0.4013
red,0.6494,0.291,fake-1197-4-red-left-89331,0,path,4,0.0,1197,0.6494,0.291
red,0.6702,0.3293,fake-1197-4-red-left-89331,1,path,4,2.5,1197,0.6702,0.3293
red,0.6416,0.3508,fake-1197-4-red-left-89331,2,path,4,5.0,1197,0.6416,0.3508
red,0.5884,0.4019,fake-1197-4-red-left-89331,3,path,4,7.5,1197,0.5884,0.4019
red,0.5865,0.4163,fake-1197-4-red-left-89331,4,path,4,10.0,1197,0.5865,0.4163
red,0.5424,0.3892,fake-1197-4-red-left-89331,5,path,4,12.5,1197,0.5424,0.3892
red,0.4826,0.3797,fake-1197-4-red-left-89331,6,path,4,15.0,1197,0.4826,0.3797
red,0.4369,0.3774,fake-1197-4-red-left-89331,7,path,4,17.5,1197,0.4369,0.3774
red,0.4285,0.3294,fake-1197-4-red-left-89331,8,path,4,20.0,1197,0.4285,0.3294
red,0.5865,0.4163,fake-1197-4-red-left-89331,0,shot,4,10.0,1197,0.5865,0.4163
red,0.7025,0.7411,fake-5669-4-red-right-45385,0,path,4,0.0,5669,0.7025,0.7411
red,0.6419,0.7232,fake-5669-4-red-right-45385,1,path,4,2.5,5669,0.6419,0.7232
red,0.6359,0.7315,fake-5669-4-red-right-45385,2,path,4,5.0,5669,0.6359,0.7315
red,0.5965,0.7577,fake-5669-4-red-right-45385,3,path,4,7.5,5669,0.5965,0.7577
red,0.5687,0.7617,fake-5669-4-red-right-45385,4,path,4,10.0,5669,0.5687,0.7617
red,0.546,0.7251,fake-5669-4-red-right-45385,5,path,4,12.5,5669,0.546,0.7251
red,0.505,0.6828,fake-5669-4-red-right-45385,6,path,4,15.0,5669,0.505,0.6828
red,0.456,0.645,fake-5669-4-red-right-45385,7,path,4,17.5,5669,0.456,0.645
